cmake 3.22.2
features core
install_pkgpc.patch 28fda8bbd88c5efdcb2208d4f767e1baa8c54bb2eb2656244f8e943cd88205ab
no-static-suffix.patch d5f1fb46bfc7441b1672f43afb5f95b29958a4f6576e0bc661969d228ed31fe7
portfile.cmake e79f0c661be0779cc9da10a5da1fbeec60971e136454dc1f38e81a9521a6b41e
ports.cmake e01bcbe535b11a2fbda56cffd590218ddeb18cb899c00afb2ac22a2301df2b09
post_build_checks 2
triplet x86_64-unknown-linux-gnu
triplet_abi 4ca6f3da6740d26f111e81d9cecd4a4150a7721a178f30bb0ab17cf12e84e382-8e22fa5f18ff2e131e1bb950b569f0f378ebd56d1de0980064bcc6bf0efd44ba-cae49842d1366673c35f2d9dca87cc6fca8547f0
usage 0209c8da3b5758e619e5f4febc14e3f918c8f4ab59f4aa40bda1744d4e44b95c
vcpkg-cmake 30345ae32e902a9483154e3fa0d00398166845625bb730ddc0777dc340a60bbf
vcpkg-cmake-config edc986b8bbe336853bf2386c3f0c91e5a28c0c2ecd28ce189ef9ee4e9fc6907b
vcpkg.json d33ddc1564cc7f189813daecadf93c1ecb41af056454e15d2de6e3eb160c0980
vcpkg_copy_pdbs 59e4c0d2321697848a899ba9537394cdee81725b11965c6d1341df53a6850380
vcpkg_fixup_pkgconfig ff54f8b06c83b54a1af5e35286a6c36ea9e69376bed1d11b5521c254987c123f
vcpkg_from_git 05d446731ca8f6cefe0e4dc04c17776e54b39d4f2bfeeec7952ced1cfe8bf89f
vcpkg_from_github 1929b9ee1417dbf59f8a25ac321ef9ca792b6d67aee38bda69ee3700ea256b73
vcpkg_replace_string 8b6e11739e0572c70057e7c655f6304f83d13843a8ce89ad8e1847444be01fea
